"symbol","stock_code","component_name","sw_level1_name","pe_ttm","pb_mrq","ps_ttm","pcf_ocf_ttm","total_market_cap","notlimited_marketcap_a","valuation_bucket","market_cap_bucket","fundamental_quality_flag","fundamental_score","data_status"
"300049.SZ","300049","福瑞医科","医药生物","74.6914","5.9264","7.2271","31.9259","11744964039","10392428754.33","中性","大","中性","0.5","ok"
"300065.SZ","300065","海兰信","国防军工","1970.1986","8.034","30.5984","148.8906","14113305969.6","12848867999.52","高估值","大","中性","-0.5","ok"
"300070.SZ","300070","碧水源","环保","206.4761","0.4637","1.6928","13.6774","12684732770.5","12021687548.5","高估值","大","中性","-0.5","ok"
"300075.SZ","300075","数字政通","计算机","-17.2717","2.044","10.5977","122.6233","6478387547.94","5376023304.68","高估值","中","中性","-0.5","ok"
"300077.SZ","300077","国民技术","电子","-138.4823","8.7293","10.4777","223.7481","15203600614","12697071518","高估值","大","中性","-0.5","ok"
"300080.SZ","300080","易成新能","电力设备","-8.6337","1.5039","1.9259","-23.6929","6463162504.2","6454366342.8","高估值","中","风险","-1.5","ok"
"300083.SZ","300083","创世纪","机械设备","164.8568","3.6366","3.5448","-48.8396","19312406032.4","17308617682.4","高估值","大","风险","-1.5","ok"
"300085.SZ","300085","银之杰","计算机","-167.8528","51.5384","28.0402","506.9711","21630266776.35","19958113644.6","高估值","大","中性","-0.5","ok"
"300088.SZ","300088","长信科技","电子","106.9965","2.1172","1.635","26.9433","18383319141.44","18293297641.92","高估值","大","中性","-0.5","ok"
"300098.SZ","300098","高新兴","通信","-1051.8723","2.8552","3.561","33.2472","7559352896.25","6706582928.7","高估值","中","中性","-0.5","ok"
"300101.SZ","300101","振芯科技","国防军工","533.4295","4.7465","9.1913","-102.4373","8365250961","8336870994.06","高估值","中","风险","-1.5","ok"
"300102.SZ","300102","乾照光电","电子","148.5396","3.9777","5.7026","46.3774","17302276624.4","17219366161.6","高估值","大","中性","-0.5","ok"
"300113.SZ","300113","顺网科技","传媒","26.6232","4.293","7.7925","34.6465","11305728301.14","8536270447.77","中性","大","中性","0.5","ok"
"300119.SZ","300119","瑞普生物","农林牧渔","19.2983","1.5737","2.2248","32.1682","7570854160.74","5434926693.3","低估值","中","稳健","1.5","ok"
"300127.SZ","300127","银河磁体","有色金属","40.2412","4.9283","8.4183","31.9678","7729660931.2","5521122068.8","中性","中","中性","0.5","ok"
"300130.SZ","300130","新国都","计算机","23.3251","2.1637","2.9218","26.7954","9774672627.82","7480710229.12","低估值","中","稳健","1.5","ok"
"300131.SZ","300131","英唐智控","电子","1475.6724","11.1808","3.4079","493.1805","19295331245","17718547772","高估值","大","中性","-0.5","ok"
"300133.SZ","300133","华策影视","传媒","75.2909","1.8428","5.1504","222.9334","13573643984.2","12048033718.2","中性","大","中性","0.5","ok"
"300134.SZ","300134","大富科技","通信","-22.2672","1.6292","2.3606","-29.0219","5955784526.56","5955784526.56","高估值","中","风险","-1.5","ok"
"300153.SZ","300153","科泰电源","电力设备","119.9183","7.3479","3.4149","75.3734","6886400000","6850464139.36","高估值","中","中性","-0.5","ok"
"300166.SZ","300166","东方国信","计算机","-72.4953","2.7854","5.9857","36.8638","15885503184.6","12635339640.3","高估值","大","中性","-0.5","ok"
"300170.SZ","300170","汉得信息","计算机","67.7906","2.7365","4.5099","38.8474","15616699862.11","14913236669.09","中性","大","中性","0.5","ok"
"300171.SZ","300171","东富龙","医药生物","45.8186","1.1965","1.8292","13.309","9519242537.2","6993830922.65","中性","中","中性","0.5","ok"
"300180.SZ","300180","华峰超纤","基础化工","2474.6111","1.4936","1.828","9.941","6991408815.35","6799296493.74","高估值","中","中性","-0.5","ok"
"300181.SZ","300181","佐力药业","医药生物","16.252","3.0867","3.3942","18.5682","10569907138.45","9085867549.33","中性","中","中性","0.5","ok"
"300182.SZ","300182","捷成股份","传媒","75.3782","1.5242","5.1816","10.0307","12972830827.84","11003117567.59","中性","大","中性","0.5","ok"
"300184.SZ","300184","力源信息","电子","57.4648","3.6668","1.5711","-45.3172","15454843940.05","14149813668.2","中性","大","中性","-0.5","ok"
"300185.SZ","300185","通裕重工","电力设备","162.2496","1.5589","1.6407","17.6627","11018830485.39","10500832308.33","高估值","大","中性","-0.5","ok"
"300188.SZ","300188","国投智能","计算机","-10.5588","3.4154","6.2668","59.7722","8526014915.2","8486645212.8","高估值","中","中性","-0.5","ok"
"300199.SZ","300199","翰宇药业","医药生物","236.0529","30.0863","23.3491","84.5391","22310676147.36","18822929660.7","高估值","大","中性","-0.5","ok"
"300224.SZ","300224","正海磁材","有色金属","37.7284","2.0702","1.5496","16.9354","10749589816.35","10710010611.3","中性","中","中性","0.5","ok"
"300229.SZ","300229","拓尔思","计算机","-32.7395","3.0251","25.2345","119.8381","11400753162.6","11393044540.65","高估值","大","中性","-0.5","ok"
"300236.SZ","300236","上海新阳","电子","91.8898","6.7448","15.6021","64.8336","32453855764.68","28846648563.12","高估值","大","中性","-0.5","ok"
"300244.SZ","300244","迪安诊断","医药生物","99.1314","1.9659","1.2859","6.3087","12830827821.08","10294954522.33","高估值","大","中性","-0.5","ok"
"300253.SZ","300253","卫宁健康","计算机","-42.7425","2.8332","7.23","29.3111","15607038899.2","13149265506.21","高估值","大","中性","-0.5","ok"
"300257.SZ","300257","开山股份","机械设备","66.1289","3.5413","4.8997","25.2932","23509404525.88","22587970132","中性","大","中性","0.5","ok"
"300260.SZ","300260","新莱应材","机械设备","169.1178","13.9253","9.6741","357.265","29920781394.24","21103922654.65","高估值","大","中性","-0.5","ok"
"300276.SZ","300276","三丰智能","机械设备","-47.2324","5.5139","5.6824","35.9735","9653186201.1","7283584780.29","高估值","中","中性","-0.5","ok"
"300284.SZ","300284","苏交科","建筑装饰","308.6728","0.7939","1.5704","7.9608","6642474091.24","6195142740.66","高估值","中","中性","-0.5","ok"
"300294.SZ","300294","博雅生物","医药生物","2313.4652","1.065","4.3088","-331.8537","7946960110.88","7946960110.88","高估值","中","风险","-1.5","ok"
"300296.SZ","300296","利亚德","电子","58.1445","1.7837","2.1479","17.0976","14400599048.82","12299231633.49","中性","大","中性","0.5","ok"
"300298.SZ","300298","三诺生物","医药生物","73.5744","2.9222","1.7908","19.1601","8697932848.66","6997776541.58","中性","中","中性","0.5","ok"
"300303.SZ","300303","聚飞光电","电子","37.0813","2.7537","3.0994","27.8603","10583537286.69","9924991117.92","中性","中","中性","0.5","ok"
"300315.SZ","300315","掌趣科技","传媒","-83.8473","2.3428","15.0453","-676.1033","10965824562.15","10292993866.35","高估值","大","风险","-1.5","ok"
"300319.SZ","300319","麦捷科技","电子","56.0033","3.4208","4.3493","28.1861","16864178156","16174134180","中性","大","中性","0.5","ok"
"300322.SZ","300322","硕贝德","电子","151.4038","9.01","3.0584","-123.1522","9173160770.82","8782189414.22","高估值","中","风险","-1.5","ok"
"300323.SZ","300323","华灿光电","电子","-75.1105","3.2812","3.3126","-71.2462","21764413867.77","15926976620.46","高估值","大","风险","-1.5","ok"
"300327.SZ","300327","中颖电子","电子","131.7967","4.7393","6.6403","38.6366","8578632422.36","8515406825.03","高估值","中","中性","-0.5","ok"
